analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes,Level1_count,Level2_count,Level3_count,Level4_count,Level5_count,strongest_candidate_origin,pathway_priority
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Eukaryotic Translation Termination R-HSA-72764,0.0093147685615091,0.0832740309398922,3,90,3/90,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Viral mRNA Translation R-HSA-192823,0.0093147685615091,0.0832740309398922,3,90,3/90,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Recognition Of DNA Damage By PCNA-containing Replication Complex R-HSA-110314,0.009087823485852,0.0832740309398922,2,30,2/30,96,0.020833333333333332,DDB1;RBX1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,0.0098888961645971,0.0866732663838218,3,92,3/92,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,RHOD GTPase Cycle R-HSA-9013405,0.0056618759832696,0.0868154317434673,3,52,3/52,139,0.02158273381294964,HINT2;STBD1;RAB7A,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,KEGG_2021_Human,Pertussis,0.0058487757270354,0.0884627328714107,3,76,3/76,96,0.03125,C5;C1S;C2,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,mRNA Splicing - Major Pathway R-HSA-72163,0.011303064618906,0.0904253200828436,4,181,4/181,96,0.041666666666666664,SRRM2;CPSF6;U2AF2;DNAJC8,0,0,0,4,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Cellular Response To Chemical Stress R-HSA-9711123,0.0115154781987984,0.0904253200828436,4,182,4/182,96,0.041666666666666664,PSMC6;PRDX1;HMOX1;RBX1,0,0,0,2,2,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,0.0117330392948656,0.0904253200828436,3,98,3/98,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.0117330392948656,0.0904253200828436,3,98,3/98,96,0.03125,RPS29;RPL12;RPL27,0,0,0,2,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Activation Of Matrix Metalloproteinases R-HSA-1592389,0.010928446612773,0.0904253200828436,2,33,2/33,96,0.020833333333333332,PLG;KLKB1,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Plasma Lipoprotein Remodeling R-HSA-8963899,0.010928446612773,0.0904253200828436,2,33,2/33,96,0.020833333333333332,APOF;LCAT,0,0,0,1,1,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,0.0115754972109367,0.0904253200828436,2,34,2/34,96,0.020833333333333332,DCTN6;DCTN3,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Protein Methylation R-HSA-8876725,0.0060908954684707,0.0906468560895946,2,17,2/17,139,0.014388489208633094,ETFB;RPS2,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,GO_Biological_Process_2023,acetyl-CoA Biosynthetic Process (GO:0006085),0.0030238501075019,0.0925109142263869,2,12,2/12,139,0.014388489208633094,DLAT;DLD,0,0,0,2,0,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,Axon Guidance R-HSA-422475,0.0124844731037462,0.0932079427787503,7,519,7/519,96,0.07291666666666667,PSMC6;ROCK1;RPS29;RPL12;MSN;RPL27;RBX1,0,0,0,3,4,Level 4,Priority 4 — Exploratory
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,increased,Reactome_2022,mRNA Splicing R-HSA-72172,0.0130745778854395,0.0932079427787503,4,189,4/189,96,0.041666666666666664,SRRM2;CPSF6;U2AF2;DNAJC8,0,0,0,4,0,Level 4,Priority 4 — Exploratory
