analysis_type,analysis_label,direction,pathway_library,pathway,enrichment_p_value,enrichment_adjusted_p_value,overlap_count,overlap_size,overlap,input_candidate_count,gene_ratio,candidate_genes
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",0.0029624009413051103,0.029219282374811723,2,211,2/211,6,0.3333333333333333,PRMT5;SRRM2
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),0.05970549897967816,0.07104198612771831,1,150,1/150,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,GO_Biological_Process_2023,snoRNA Localization (GO:0048254),0.0020398443109517243,0.029219282374811723,1,5,1/5,6,0.16666666666666666,ZNHIT3
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Adaptive Immune System R-HSA-1280218,0.30394773487332194,0.3368851068771089,1,733,1/733,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Asparagine N-linked Glycosylation R-HSA-446203,0.12742456649371467,0.16838246286669437,1,282,1/282,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,COPI-independent Golgi-to-ER Retrograde Traffic R-HSA-6811436,0.01610730016240143,0.044978903640269484,1,34,1/34,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,COPI-mediated Anterograde Transport R-HSA-6807878,0.03756847394603754,0.06318334254560859,1,80,1/80,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Cellular Responses To Stimuli R-HSA-8953897,0.3050175967671121,0.3368851068771089,1,736,1/736,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Cellular Responses To Stress R-HSA-2262752,0.3000136296604099,0.3368851068771089,1,722,1/722,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,0.10844874462013376,0.14825205559183807,1,238,1/238,6,0.16666666666666666,PRMT5
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Complement Cascade R-HSA-166658,0.025951773556813856,0.04801078108010563,1,55,1/55,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,0.29281514659651037,0.3368851068771089,1,702,1/702,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Disease R-HSA-1643685,0.5954325020287423,0.6035891116455744,1,1736,1/1736,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.1864723909653256,0.2338806259565101,1,424,1/424,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Downstream Signal Transduction R-HSA-186763,0.01328002410248803,0.042100585134679964,1,28,1/28,6,0.16666666666666666,STAT5B
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,ECM Proteoglycans R-HSA-3000178,0.025951773556813856,0.04801078108010563,1,55,1/55,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,ER To Golgi Anterograde Transport R-HSA-199977,0.06182943548806152,0.0953203797107615,1,133,1/133,6,0.16666666666666666,DCTN6
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Elastic Fibre Formation R-HSA-1566948,0.018458409577051554,0.044978903640269484,1,39,1/39,6,0.16666666666666666,VTN
primary_fdr,PRIMARY — FDR-supported pathway analysis,increased,Reactome_2022,Erythropoietin Activates STAT5 R-HSA-9027283,0.0033333304259963877,0.042100585134679964,1,7,1/7,6,0.16666666666666666,STAT5B
