analysis_type,analysis_label,direction,pathway_library,pathway,candidate_gene,row_position,Gene.name,Accession,candidate_origin,log2FC,t_statistic,p_value,q_value
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206,ACSL1,793,ACSL1,P33121,Level 4,-0.9035019358881868,-2.386772020761066,0.0281810417946117,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of Necroptotic Cell Death R-HSA-5675482,FASN,1952,FASN,P49327,Level 4,-1.0804036792330685,-2.997833472860323,0.0077217033914022,0.1744039903920157
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,YWHAE,1101,YWHAE,P62258,Level 5,-0.2895169058524658,-2.424702397672465,0.0260687852229346,0.2977190705721081
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of Pyruvate Dehydrogenase (PDH) Complex R-HSA-204174,DLAT,1946,DLAT,P10515,Level 4,-1.0411083703137225,-4.094257603011906,0.0006808647675809,0.061793456021259
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Regulation Of RUNX2 Expression And Activity R-HSA-8939902,SKP1,1150,SKP1,P63208,Level 5,-0.2820909371907554,-2.109643682587185,0.0491521552217693,0.3823761996193917
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Removal Of Flap Intermediate From C-strand R-HSA-174437,PCNA,528,PCNA,P12004,Level 4,-1.024176784020625,-2.890346350504444,0.0097464292888153,0.1934518540658797
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Removal Of Flap Intermediate R-HSA-69166,PCNA,528,PCNA,P12004,Level 4,-1.024176784020625,-2.890346350504444,0.0097464292888153,0.1934518540658797
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,PCNA,528,PCNA,P12004,Level 4,-1.024176784020625,-2.890346350504444,0.0097464292888153,0.1934518540658797
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Resolution Of Abasic Sites (AP Sites) R-HSA-73933,PCNA,528,PCNA,P12004,Level 4,-1.024176784020625,-2.890346350504444,0.0097464292888153,0.1934518540658797
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,RANGAP1,1951,RANGAP1,P46060,Level 4,-4.005789888424889,-3.986816231322594,0.0008648560688764,0.0653631605900827
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,SEC13,1027,SEC13,P55735,Level 5,-0.5378419917533712,-2.6296140039722293,0.0170052202426072,0.2629920469856457
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,COX6B1,574,COX6B1,P14854,Level 4,-0.8481437768077846,-2.26151581982374,0.0363439447643673,0.333718932065336
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,ETFB,840,ETFB,P38117,Level 4,-0.6549000347567713,-3.2796708180912755,0.0041639610103359,0.1410721273329341
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,ETFDH,1410,ETFDH,Q16134,Level 4,-1.4482844535582051,-3.1666297838943147,0.0053399088446603,0.154354207510607
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,NDUFA10,215,NDUFA10,O95299,Level 2,-0.6781385595917442,-4.914862263119036,0.0001116646877657,0.0199473737690687
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,NDUFA12,1850,NDUFA12,Q9UI09,Level 4,-0.7155099953353954,-2.5857692556957543,0.0186486238419878,0.2742757355037173
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,SDHA,1950,SDHA,P31040,Level 4,-1.4314319733480083,-4.031310205780123,0.0007832672704533,0.061793456021259
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,UQCR11,84,UQCR11,O14957,Level 5,-0.2888435184270044,-2.632188905809535,0.0169131153031397,0.2629920469856457
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,UQCRC1,781,UQCRC1,P31930,Level 4,-0.7249435000501165,-3.4484794061301765,0.0028663922579254,0.1224447997135562
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,UQCRC2,674,UQCRC2,P22695,Level 5,-0.5030463356712289,-2.4492103867595496,0.0247838565957549,0.2929205539099461
exploratory_all_candidates,EXPLORATORY — includes nominal p < 0.05 candidates,decreased,Reactome_2022,Respiratory Electron Transport R-HSA-611105,UQCRH,433,UQCRH,P07919,Level 4,-1.4079438953045234,-3.876621172551321,0.0011055398868052,0.0749098578473215
