Accession,PeptideCounts,Name,Gene.name,NDM_B1_01,NDM_B1_02,NDM_B1_03,NDM_B1_04,NDM_B1_05,NDM_B2_06,NDM_B2_07,NDM_B2_08,NDM_B2_09,NDM_B2_10,DM_B1_11,DM_B1_12,DM_B1_13,DM_B1_14,DM_B1_15,DM_B2_16,DM_B2_17,DM_B2_18,DM_B2_19,DM_B2_20,Number of samples imputed,Fold-change (DM/NDM,pValue,qValue,tStatistic,RepeatedlySignificant
P04217,15,Alpha-1B-glycoprotein,A1BG,201108266.168222,248380308.597166,132800729.655392,239903799.467947,144670261.647095,231285113.449105,199575891.657052,348756634.866305,163134425.985985,131203734.03982,229477421.301677,275663039.727336,106617555.027178,207748212.969325,193737015.793707,262048585.56701,254465349.911164,197676948.016198,321678836.46229,482575393.028624,0,1.24052556961457,0.194274646952373,0.539227987617833,1.34165811695234,False
P04233,3,HLA class II histocompatibility antigen gamma chain,CD74,771750.404877607,1848917.19022214,1079760.48869133,7392647.20018506,4431914.30245332,6982585.05997287,2488851.2097719,2734495.88509602,4970720.39044881,4758786.24256048,3402441.08973933,1771651.93443568,1320330.12869466,6490669.68944785,5819627.504718,1961586.29795836,2847915.38228091,2179676.42701793,3571476.80425936,2745388.88781163,5,0.857191589629848,0.872771975038646,0.825812662811676,-0.162139456175831,False
P04264,19,"Keratin, type II cytoskeletal 1",KRT1,7166633.34912244,2352788.39867938,800507.610421857,1845513.61663245,7679675.46101478,612069.252744679,874461.235865803,4942615.26601121,5743748.96783757,11053017.6272033,10461315.5198406,60188188.5680792,13851765.6880932,13051819.5100204,6763448.55837948,4423845.58552658,3661669.59793517,2589147.06788607,3967321.61037258,2929450.28347184,0,2.82992929973119,0.0211949459214443,0.244466286728116,2.49418746516698,False
P04271,3,Protein S100-B,S100B,35060788.2925789,162113307.700717,51260862.8906315,105520921.46546,134575503.2596,237466157.371069,221223845.992722,149197255.467242,105641525.509837,104588195.636195,23552855.0058111,56671733.3463587,15861853.7031829,59768221.391002,70233643.5781023,104184714.469375,123781825.767107,80830269.8730549,122776117.4896,270609413.619575,0,0.710421161585938,0.0482446436876565,0.332092812787646,-2.0995471675517,False
P04275,61,von Willebrand factor;von Willebrand antigen 2,VWF,66680597.3628092,50814573.6308379,34169741.8061431,98069257.6063384,32441996.3107801,121381908.022908,108256360.149108,95125594.0181935,38521418.6995778,138312770.356098,33625657.0280591,48980163.7902339,25085413.2172314,121429163.006135,59018811.6983263,90447565.4335961,52916012.5234094,98221929.4294294,128683365.983903,74713129.0858726,0,0.935372961235881,0.768120399284439,0.807231985594737,-0.298744528413586,False
P04406,16,Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,311463573.836172,808539611.338989,585923256.926447,745101532.440795,773814805.701822,576335921.573498,444952551.069495,1148668596.48075,664996737.867218,564861618.222365,519605771.600531,501460039.44512,386703128.07269,395583113.402863,564326639.49819,489867641.358399,975571669.147659,562008021.662572,746535923.091879,914333114.035088,0,0.91415962506955,0.547638105770524,0.730613623538725,-0.611351702064118,False
P04424,2,Argininosuccinate lyase,ASL,979533.914399015,8201699.23255204,5213506.89289383,4881476.79643796,208895.408116504,237532.477584824,445981.036256324,600781.926835431,334597.262788608,6265189.22251611,735122.02396253,7093501.67187681,2957335.6048185,4519729.36148819,359890.141401676,397553.697590459,1175165.30720379,465376.352042952,5278979.11208606,1249135.01800554,10,0.8853672541335,0.727624764069628,0.795870457583298,0.353055893772611,False
P04430,1,Ig kappa chain V-I region BAN,,2953638.00921498,3048972.14143056,1700986.87260689,3559482.77552555,2173574.63383199,1010414.98464257,1803332.655809,3238374.73118625,1767604.44892642,1461687.22307857,2586159.33621119,2380099.19199375,2722489.08556208,3039742.31472393,1231231.83921666,6459331.39809986,1158659.6364946,3897242.06224406,2874607.40391572,2935291.39519852,1,1.28905561202405,0.331436094728729,0.621344828365596,0.994613702848655,False
P04632,11,Calpain small subunit 1,CAPNS1,68091290.1433298,86528539.8854294,54696900.1245674,59792738.8103982,66844059.9242107,118482388.277541,121377840.516553,121641917.752458,118772205.466715,117485828.127453,47772885.7463058,61662394.7956466,60479540.3282944,128523041.713701,84836921.6973981,138051547.240752,151002698.559424,111751893.907544,100102086.430638,94426881.1634349,0,1.048083456546,0.786226543068279,0.811510678024041,0.274765352207285,False
P04792,18,Heat shock protein beta-1,HSPB1,736132827.739292,699657660.989155,758256384.043674,792898540.832201,726563183.227214,1120466747.34758,1013140851.38014,969030807.451989,773954515.667954,1017939308.92742,648231046.961647,786495784.821118,637496608.859082,1178363580.5726,765797523.628685,1069427229.39155,1109746429.53181,942930522.522522,645512677.740098,1008985674.51524,0,1.02148528970083,0.91693854237011,0.827540449847929,0.105574716333015,False
P04843,8,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,4661445.87878357,9062325.96816512,6592066.34039494,7215597.22337565,1643697.61596422,8953361.49734935,10206886.055738,17457152.2512175,16287416.3147965,19945981.912153,6534132.95691516,2197649.26529756,14403946.0140891,13612908.6233129,21160442.0025988,9353804.6157267,4740991.1152461,13086052.3814724,4562187.44944836,12922132.1698984,0,1.0053742762294,0.950100199127832,0.837319346889102,0.0633459058663989,False
P04844,6,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,2052388.90576938,3941801.21860241,2376475.22923738,3331414.73458057,2887599.15122607,3161882.51098226,3039007.84237153,10219260.646421,2592721.60120385,4790596.84596446,2505943.09090154,4745507.63237398,2602197.17015063,2884716.60331288,5049420.95334591,5209386.84722054,4942387.87932773,1761701.72299572,3122982.27265328,6215938.5212373,1,1.01685285081581,0.792628553234638,0.81186965806444,0.26632681381808,False
P04899,15,Guanine nucleotide-binding protein G(i) subunit alpha-2,GNAI2,45456193.0545144,47662211.5042855,56973528.7056699,61103859.8230344,19961185.4053846,48472117.8292373,44663628.0851158,38196214.7780943,39472637.3946636,82780926.6359809,32281996.1298356,69996393.6711242,63812839.41291,75468014.591002,62598074.8762491,54075856.4766525,52625225.7517407,44634425.8704159,35495042.0614035,67119683.8411819,0,1.15134849735643,0.300680635353991,0.611114865961753,1.06158771206946,False
Q99878,5,Histone H2A type 1-J;Histone H2A type 1-H;Histone H2A.J;Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-D;Histone H2A type 1;Histone H2A type 1-B/E,HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AC;HIST3H2A;HIST1H2AD;HIST1H2AG;HIST1H2AB,157362296.553106,217788419.979885,145316717.942716,168402847.294914,50434672.9471898,174992516.013881,62182712.0497914,177928997.440963,78988092.2239691,251210402.437023,207010666.329072,154304760.094651,313542393.804592,88451800.1349693,151612731.058379,56719766.5138468,187467718.722689,75372362.1407771,90577810.2459758,145503420.637119,0,0.990540096593217,0.950766301496499,0.837319346889102,-0.0624991511910564,False
P05023,14,Sodium/potassium-transporting ATPase subunit alpha-1;Sodium/potassium-transporting ATPase subunit alpha-3;Sodium/potassium-transporting ATPase subunit alpha-2,ATP1A1;ATP1A3;ATP1A2,13901604.3696849,7147288.45229141,2454602.49694852,4128247.71934187,8667532.91039679,6261424.02103485,5383705.24127984,29052033.0602775,19000026.7329979,27434478.0468137,290050.771725054,5566142.87115028,2827618.15449309,13125204.4621677,30529264.5616125,6800795.51522135,11432228.0787515,4797397.14710165,6317037.44922228,26380584.598338,0,0.875520521341823,0.41586684646805,0.670306432105353,-0.83029689590637,False
P05090,6,Apolipoprotein D,APOD,118082715.553028,30504436.5178415,75916266.0349123,91500681.8488853,41921145.3248584,23136469.7705611,39823941.7422561,70324931.3856473,30796649.7556374,25634544.7430957,53294928.6294205,47384234.1126838,39385493.7329295,26235120.392638,33718220.3655292,88649192.787548,35300078.0965186,36978217.8128128,24731849.3827998,23014643.9658356,0,0.746276110053439,0.275635426903003,0.592304662705395,-1.11984489891498,False
P05091,26,"Aldehyde dehydrogenase, mitochondrial",ALDH2,885161408.380076,2046379126.90222,1418666178.00592,1505681426.71255,932534961.543546,1180022299.29955,1067053381.33487,1160690245.84214,1404327900.5031,589969987.575822,456394749.66794,1361679660.47239,988415419.237946,536497510.05726,920127950.476441,543252106.670709,883381492.648259,895903053.280553,555450378.449991,1079742777.93167,0,0.674365606187232,0.0154396312316708,0.211679581794544,-2.6401006209276,False
P05109,4,"Protein S100-A8;Protein S100-A8, N-terminally processed",S100A8,1814938.39151395,10961752.8756341,18630742.0672243,4994582.00757598,10049874.4933795,6797821.9098851,7017503.72596965,17751682.6605715,7177041.60353966,31915971.8597017,11840197.0905695,4707586.80393945,4156136.22028719,15546143.4564417,4276901.46938712,5031438.62951284,10479093.6605042,8826367.14760215,59570248.800416,36546110.2908587,1,1.37458454376726,0.674835940111394,0.76968146506879,0.425552419889061,False
