analysis_type,direction,pathway_library,pathway,enrichment_adjusted_p_value,candidate_gene_count,candidate_genes_reconstructed
primary_fdr,decreased,GO_Biological_Process_2023,Lymphocyte Proliferation (GO:0046651),0.048010042856707,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",0.0464680270675297,1,NDUFA10
primary_fdr,decreased,GO_Biological_Process_2023,Mitochondrial RNA Metabolic Process (GO:0000959),0.0464680270675297,1,MRPL12
primary_fdr,decreased,GO_Biological_Process_2023,Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),0.0490111404347283,1,NDUFA10
primary_fdr,decreased,GO_Biological_Process_2023,Mitochondrial Transcription (GO:0006390),0.0464680270675297,1,MRPL12
primary_fdr,decreased,GO_Biological_Process_2023,MyD88-dependent Toll-Like Receptor Signaling Pathway (GO:0002755),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),0.0490111404347283,1,NDUFA10
primary_fdr,decreased,GO_Biological_Process_2023,Negative Regulation Of Mitotic Cell Cycle (GO:0045930),0.0464680270675297,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Negative Regulation Of Protein Maturation (GO:1903318),0.0464680270675297,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Negative Regulation Of Protein Processing (GO:0010955),0.0464680270675297,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Negative Regulation Of Proteolysis (GO:0045861),0.048010042856707,1,GAS1
primary_fdr,decreased,GO_Biological_Process_2023,Notch Signaling Pathway (GO:0007219),0.048010042856707,1,POFUT1
primary_fdr,decreased,GO_Biological_Process_2023,O-glycan Processing (GO:0016266),0.048010042856707,1,POFUT1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Autophagosome Maturation (GO:1901098),0.0464680270675297,1,FYCO1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Immune Response To Tumor Cell (GO:0002839),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Interferon-Alpha Production (GO:0032727),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Interleukin-10 Production (GO:0032733),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Interleukin-12 Production (GO:0032735),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Activation (GO:0002696),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),0.048010042856707,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),0.0480488309392367,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Macrophage Activation (GO:0043032),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Organelle Organization (GO:0010638),0.0464680270675297,1,FYCO1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of Protein-Containing Complex Disassembly (GO:0043243),0.0464680270675297,1,FYCO1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Immune Response To Tumor Cell (GO:0002842),0.0464680270675297,1,HSPD1
primary_fdr,decreased,GO_Biological_Process_2023,Positive Regulation Of T Cell Mediated Immunity (GO:0002711),0.048010042856707,1,HSPD1
